type_species,Species,Author,Subspecies,Common_name,Familyetc,sp#,changes
,Acanthodactylus dumerilii,(MILNE-EDWARDS 1829),,"Duméril's Fringe-fingered Lizard
G: Dumérils Fransenfinger","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10063,
,Acanthodactylus erythrurus,(SCHINZ 1833),"Acanthodactylus erythrurus atlanticus BOULENGER 1918
Acanthodactylus erythrurus belli GRAY 1845
Acanthodactylus erythrurus erythrurus (SCHINZ 1833)
Acanthodactylus erythrurus lineomaculatus (DUMÉRIL & BIBRON 1839)","E: Fringe-fingered Lizard
G: Europäischer Fransenfinger
D: Roodstaartfransjenhagedis","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10064,
,Acanthodactylus felicis,ARNOLD 1980,,"E: Cat Fringe-fingered Lizard, South Arabian Fringe-toed Lizard","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10065,
,Acanthodactylus gongrorhynchatus,LEVITON & ANDERSON 1967,,E: Saudi Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10066,
,Acanthodactylus grandis,BOULENGER 1909,,E: Giant Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10067,
,Acanthodactylus guineensis,(BOULENGER 1887),,E: Guinea Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10068,
,Acanthodactylus haasi,LEVITON & ANDERSON 1967,,"E: Haas' Fringe-fingered Lizard, Haas’s Fringe-toed Lizard","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10069,
,Acanthodactylus hardyi,HAAS 1957,,E: Hardy’s Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10070,
,Acanthodactylus harranensis,"BARAN, KUMLUTAS, LANZA, SINDACO, AVCI & CRUCITTI 2005",,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10071,
,Acanthodactylus ilgazi,KURNAZ & ŞAHIN 2021,,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",23786,new species
,Acanthodactylus khamirensis,"HEIDARI, RASTEGAR-POUYANI, RASTEGAR-POUYANI & RAJABIZADEH 2013",,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10072,
,Acanthodactylus lacrymae,"MIRALLES, GENIEZ, BEDDEK, MENDEZ-ARANDA, BRITO, LEBLOIS & CROCHET 2020",,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",22722,
,Acanthodactylus longipes,BOULENGER 1918,,"Long Fringe-fingered Lizard
G: Dünen-Fransenfinger, Langfüssiger Fransenfinger","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10074,
,Acanthodactylus maculatus,(GRAY 1838),,E: Spotted Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10075,
,Acanthodactylus margaritae,"TAMAR, GENIEZ, BRITO & CROCHET 2017",,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",21046,
,Acanthodactylus masirae,ARNOLD 1980,,E: Masira Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10076,
,Acanthodactylus micropholis,BLANFORD 1874,,E: Yellowtail Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10077,
,Acanthodactylus montanus,"MIRALLES, GENIEZ, BEDDEK, MENDEZ-ARANDA, BRITO, LEBLOIS & CROCHET 2020",,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",22725,
,Acanthodactylus nilsoni,RASTEGAR-POUYANI 1998,,E: Nilson's Spiny-Toed Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10078,
,Acanthodactylus opheodurus,ARNOLD 1980,,"E: Snake-tailed Fringe-toed Lizard, Arnold's Fringe-fingered Lizard","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10079,
,Acanthodactylus orientalis,ANGEL 1936,,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10080,
,Acanthodactylus pardalis,(LICHTENSTEIN 1823),,"Egyptian Fringe-fingered Lizard
G: Ägyptischer Pantherfransenfinger, Ägyptischer Leopardfransenfinger","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10081,
,Acanthodactylus robustus,WERNER 1929,,E: Robust Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10082,
,Acanthodactylus savignyi,(AUDOUIN 1827),,E: Savigny's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10083,
,Acanthodactylus schmidti,HAAS 1957,,"E: Schmidt's Fringe-fingered Lizard, Schmidt’s Fringe-toed Lizard","Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10084,
,Acanthodactylus schreiberi,BOULENGER 1878,,E: Schreiber's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10085,
,Acanthodactylus scutellatus,(AUDOUIN 1827),"Acanthodactylus scutellatus audouini BOULENGER 1918
Acanthodactylus scutellatus scutellatus (AUDOUIN 1827)",E: Nidua Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10086,
,Acanthodactylus senegalensis,CHABANAUD 1918,,G: Senegal-Fransenfinger,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10087,
,Acanthodactylus spinicauda,DOUMERGUE 1901,,E: Doumergue's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10088,
,Acanthodactylus taghitensis,GENIEZ & FOUCART 1995,,,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10089,
,Acanthodactylus tilburyi,ARNOLD 1986,,E: Tilbury's Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10090,
,Acanthodactylus tristrami,(GÜNTHER 1864),,E: Lebanon Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10091,
,Acanthodactylus yemenicus,SALVADOR 1982,,E: Yemen Fringe-fingered Lizard,"Lacertidae, Eremiadinae, Sauria, Lacertoidea, Squamata (lizards)",10092,
x,Acanthophis antarcticus,(SHAW 1802),,"E: Common death adder
G: Todesotter","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",10093,
,Acanthophis cryptamydros,"MADDOCK, ELLIS, DOUGHTY, SMITH & WÜSTER 2015",,E: Kimberley death adder,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",20324,
,Acanthophis hawkei,WELLS & WELLINGTON 1985,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",10094,
,Acanthophis laevis,MACLEAY 1877,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",10095,
,Acanthophis praelongus,RAMSAY 1877,,"E: Northern death adder
G: Nördliche Todesotter","Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",10096,
,Acanthophis pyrrhus,BOULENGER 1898,,E: Desert Death Adder,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",10097,
,Acanthophis rugosus,LOVERIDGE 1948,,G: Rauhnackige Todesotter,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",10098,
,Acanthophis wellsi,HOSER 1998,,,"Elapidae (Hydrophiinae), Colubroidea, Caenophidia, Alethinophidia, Serpentes, Squamata (snakes)",10099,
x,Acanthosaura armata,(GRAY 1827),,"E: Armored Pricklenape, Peninsular Horned Tree Lizard
G: Grosser Nackenstachler
Chinese: 长棘蜥","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",10100,
,Acanthosaura aurantiacrista,"TRIVALAIRAT, KUNYA, CHANHOME, SUMONTHA, VASARUCHAPONG, CHOMNGAM & CHIANGKUL 2020",,,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",22898,
,Acanthosaura bintangensis,"WOOD, GRISMER, GRISMER, AHMAD, ONN & BAUER 2009",,"E: Bukit Larut Mountain Horned Agamid, Bintang Horned Tree Lizard","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",10101,
,Acanthosaura brachypoda,"ANANJEVA, ORLOV, NGUYEN & RYABOV 2011",,,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",10102,
,Acanthosaura capra,GÜNTHER 1861,,"E: Green Pricklenape
G: Grüner Nackenstachler","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",10103,
,Acanthosaura cardamomensis,"WOOD, GRISMER, GRISMER, NEANG, CHAV & HOLDEN 2010",,,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",10104,
,Acanthosaura coronata,GÜNTHER 1861,,,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",10105,
,Acanthosaura crucigera,BOULENGER 1885,,"E: Boulenger's Pricklenape, Masked Horned Tree Lizard
G: Masken-Nackenstachler, Winkelkopfagame","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",10106,
,Acanthosaura lepidogaster,(CUVIER 1829),,"E: Brown Pricklenape
G: Schwarzkopf-Nackenstachler
Chinese: 丽棘蜥 ","Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",10107,
,Acanthosaura liui,"LIU, HOU, MO & RAO 2020",,,"Agamidae (Draconinae), Sauria, Iguania, Squamata (lizards)",23338,
